rock_out,featset,hidden,act,alpha,inner_mape
r1,md_beta9,"(6, 3)",tanh,0.5,49.47956710605556
r1,md_beta9,"(6, 3)",tanh,1.0,39.60664940900433
r1,md_beta9,"(6, 3)",tanh,2.0,40.56444801994717
r1,md_beta9,"(6, 3)",tanh,3.0,37.49646754348328
r1,md_beta9,"(6, 3)",tanh,5.0,37.157350323015486
r1,md_beta9,"(6, 3)",tanh,10.0,39.53706951470409
r1,md_beta9,"(8, 4)",tanh,0.5,52.04961823886007
r1,md_beta9,"(8, 4)",tanh,1.0,45.87382959646915
r1,md_beta9,"(8, 4)",tanh,2.0,46.22547757046052
r1,md_beta9,"(8, 4)",tanh,3.0,40.04668807406374
r1,md_beta9,"(8, 4)",tanh,5.0,38.24571891667737
r1,md_beta9,"(8, 4)",tanh,10.0,39.20290882646559
r1,md_beta9,"(10, 5)",tanh,0.5,54.81134611668101
r1,md_beta9,"(10, 5)",tanh,1.0,55.27830013982248
r1,md_beta9,"(10, 5)",tanh,2.0,40.79586372245316
r1,md_beta9,"(10, 5)",tanh,3.0,40.084864189806886
r1,md_beta9,"(10, 5)",tanh,5.0,37.7640931265541
r1,md_beta9,"(10, 5)",tanh,10.0,39.35582729566277
r1,md_beta9,"(12, 6)",tanh,0.5,57.94060847389413
r1,md_beta9,"(12, 6)",tanh,1.0,53.48678936680223
r1,md_beta9,"(12, 6)",tanh,2.0,47.48937222473985
r1,md_beta9,"(12, 6)",tanh,3.0,41.09510835828061
r1,md_beta9,"(12, 6)",tanh,5.0,37.60289749881563
r1,md_beta9,"(12, 6)",tanh,10.0,39.086677603987
r1,md_beta9,"(16, 8)",tanh,0.5,59.61347719700477
r1,md_beta9,"(16, 8)",tanh,1.0,52.785102205888506
r1,md_beta9,"(16, 8)",tanh,2.0,50.66713193186793
r1,md_beta9,"(16, 8)",tanh,3.0,44.2567130204561
r1,md_beta9,"(16, 8)",tanh,5.0,39.705413725968455
r1,md_beta9,"(16, 8)",tanh,10.0,38.98345947744196
r1,md_beta9,"(20, 10)",tanh,0.5,52.303046373554864
r1,md_beta9,"(20, 10)",tanh,1.0,54.02584996005264
r1,md_beta9,"(20, 10)",tanh,2.0,48.86555971654601
r1,md_beta9,"(20, 10)",tanh,3.0,43.81311501458016
r1,md_beta9,"(20, 10)",tanh,5.0,40.92039362107237
r1,md_beta9,"(20, 10)",tanh,10.0,38.99809914843507
r1,md_beta9,"(24, 12)",tanh,0.5,57.36915928114414
r1,md_beta9,"(24, 12)",tanh,1.0,53.11746465632217
r1,md_beta9,"(24, 12)",tanh,2.0,46.75513545495449
r1,md_beta9,"(24, 12)",tanh,3.0,42.24951750521804
r1,md_beta9,"(24, 12)",tanh,5.0,42.43460141497948
r1,md_beta9,"(24, 12)",tanh,10.0,39.45769165879746
r1,md_beta9,"(8, 8)",tanh,0.5,57.41866229089728
r1,md_beta9,"(8, 8)",tanh,1.0,55.9877943769633
r1,md_beta9,"(8, 8)",tanh,2.0,44.2253133953
r1,md_beta9,"(8, 8)",tanh,3.0,42.78362385901114
r1,md_beta9,"(8, 8)",tanh,5.0,38.03958952860616
r1,md_beta9,"(8, 8)",tanh,10.0,39.04266496721574
r1,md_beta9,"(16, 16)",tanh,0.5,59.103996049616704
r1,md_beta9,"(16, 16)",tanh,1.0,52.29131920044656
r1,md_beta9,"(16, 16)",tanh,2.0,44.9783257634052
r1,md_beta9,"(16, 16)",tanh,3.0,44.602145337417895
r1,md_beta9,"(16, 16)",tanh,5.0,39.69395929970352
r1,md_beta9,"(16, 16)",tanh,10.0,38.84626422407136
r1,md_beta9,"(8, 4, 2)",tanh,0.5,54.3066450630425
r1,md_beta9,"(8, 4, 2)",tanh,1.0,50.21462435707625
r1,md_beta9,"(8, 4, 2)",tanh,2.0,46.66870857933331
r1,md_beta9,"(8, 4, 2)",tanh,3.0,38.596662909553615
r1,md_beta9,"(8, 4, 2)",tanh,5.0,40.09594965481784
r1,md_beta9,"(8, 4, 2)",tanh,10.0,40.92441138797236
r1,md_beta9,"(12, 6, 3)",tanh,0.5,54.692485707090725
r1,md_beta9,"(12, 6, 3)",tanh,1.0,51.27172942375817
r1,md_beta9,"(12, 6, 3)",tanh,2.0,47.99070182248094
r1,md_beta9,"(12, 6, 3)",tanh,3.0,40.55137388438121
r1,md_beta9,"(12, 6, 3)",tanh,5.0,39.60286110516959
r1,md_beta9,"(12, 6, 3)",tanh,10.0,40.8891622095475
r1,md_beta9,"(16, 8, 4)",tanh,0.5,59.40831204178494
r1,md_beta9,"(16, 8, 4)",tanh,1.0,55.65555396761606
r1,md_beta9,"(16, 8, 4)",tanh,2.0,52.89611927901605
r1,md_beta9,"(16, 8, 4)",tanh,3.0,43.364581021418346
